epoch,train/ctc_loss,val/ctc_loss,val/seq_acc,val/char_acc,lr
70,0.220532,0.152952,0.826814,0.949649,0.00023426
71,0.210988,0.149774,0.829261,0.951796,0.00022071
72,0.217002,0.152349,0.826203,0.948918,0.00020746
73,0.212343,0.151404,0.826723,0.949514,0.00019455
74,0.210785,0.153749,0.82657,0.948813,0.00018197
75,0.21038,0.150912,0.828129,0.950603,0.00016975
76,0.206529,0.150923,0.829444,0.950886,0.00015789
77,0.210678,0.152811,0.82556,0.949018,0.00014641
78,0.206455,0.1519,0.826294,0.949701,0.00013532
79,0.204251,0.149377,0.829108,0.950829,0.00012464
80,0.20217,0.149304,0.830576,0.951095,0.00011438
81,0.206137,0.151597,0.828099,0.949863,0.00010454
82,0.206688,0.147285,0.83394,0.95275,9.514e-05
83,0.201358,0.150008,0.82923,0.951243,8.618e-05
84,0.201622,0.149797,0.830637,0.950725,7.769e-05
85,0.203886,0.148225,0.833512,0.952014,6.966e-05
86,0.201662,0.149701,0.832747,0.952014,6.211e-05
87,0.200475,0.14934,0.828986,0.950255,5.504e-05
88,0.19769,0.149674,0.830973,0.950424,4.847e-05
89,0.198204,0.148419,0.831769,0.9516,4.239e-05
90,0.201367,0.150429,0.829872,0.950302,3.682e-05
91,0.201251,0.148467,0.832074,0.951731,3.176e-05
92,0.195031,0.148239,0.83287,0.952118,2.722e-05
93,0.202024,0.148809,0.831249,0.950977,2.32e-05
94,0.198877,0.148141,0.832717,0.951613,1.971e-05
95,0.199661,0.148133,0.833206,0.951918,1.675e-05
96,0.198124,0.147882,0.832503,0.951618,1.432e-05
97,0.197376,0.148682,0.832044,0.951243,1.243e-05
98,0.195318,0.147667,0.833022,0.951914,1.108e-05
99,0.200609,0.147683,0.8329,0.951504,1.027e-05
100,0.196194,0.147829,0.832931,0.951609,1e-05
